,URL_ID,URL,Positive Score,Negative Score,Polarity Score,Subjectivity Score,Avg Sentence Length,Percentage of Complex Words,Fog Index,Avg Number of Words Per Sentence,Complex Word Count,Word Count (Post NLTK cleaning),Syllable Per Word,Personal Pronouns Count,Avg Word Length
0,37.0,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,59.0,32.0,0.297,0.097,23.224,0.207,9.372,23.224,366.0,1124.0,1.759,1.0,5.675
1,38.0,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,58.0,38.0,0.208,0.179,20.435,0.133,8.227,20.435,188.0,740.0,1.507,7.0,4.803
2,39.0,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,64.0,37.0,0.267,0.126,20.083,0.197,8.112,20.083,332.0,982.0,1.717,3.0,5.391
3,40.0,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,58.0,27.0,0.365,0.142,19.256,0.138,7.758,19.256,218.0,867.0,1.522,19.0,4.802
4,41.0,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,53.0,23.0,0.395,0.107,20.887,0.16,8.419,20.887,267.0,919.0,1.613,16.0,5.069
5,42.0,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,40.0,22.0,0.29,0.121,22.926,0.146,9.229,22.926,181.0,656.0,1.56,21.0,4.948
6,43.0,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,21.0,11.0,0.312,0.102,15.978,0.159,6.455,15.978,114.0,397.0,1.594,7.0,5.076
7,44.0,https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,,,,,,,,,,,,,
8,45.0,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,32.0,13.0,0.422,0.156,20.057,0.12,8.071,20.057,84.0,378.0,1.47,2.0,4.783
9,46.0,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,61.0,33.0,0.298,0.105,25.212,0.152,10.145,25.212,325.0,1171.0,1.58,11.0,4.918
10,47.0,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,41.0,54.0,-0.137,0.111,18.848,0.154,7.601,18.848,288.0,1062.0,1.585,0.0,5.05
11,48.0,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,32.0,22.0,0.185,0.097,21.648,0.188,8.735,21.648,220.0,673.0,1.689,10.0,5.429
12,49.0,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,29.0,27.0,0.036,0.103,16.597,0.162,6.703,16.597,193.0,718.0,1.581,8.0,5.003
13,50.0,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,55.0,24.0,0.392,0.13,21.907,0.13,8.815,21.907,213.0,823.0,1.538,22.0,4.805
14,51.0,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,57.0,20.0,0.481,0.119,18.975,0.175,7.66,18.975,266.0,853.0,1.631,12.0,5.115
15,52.0,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,24.0,0.0,1.0,0.1,23.81,0.194,9.601,23.81,97.0,298.0,1.702,0.0,5.416
16,53.0,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,74.0,39.0,0.31,0.172,257.429,0.128,103.023,257.429,231.0,902.0,1.496,15.0,4.748
17,54.0,https://insights.blackcoffer.com/all-you-need-to-know-about-online-marketing/,17.0,0.0,1.0,0.05,16.977,0.177,6.862,16.977,132.0,417.0,1.616,1.0,5.071
18,55.0,https://insights.blackcoffer.com/evolution-of-advertising-industry/,14.0,5.0,0.474,0.056,17.45,0.231,7.072,17.45,161.0,404.0,1.759,2.0,5.437
19,56.0,https://insights.blackcoffer.com/how-data-analytics-can-help-your-business-respond-to-the-impact-of-covid-19/,0.0,3.0,-1.0,0.046,28.0,0.173,11.269,28.0,29.0,100.0,1.631,3.0,5.321
20,57.0,https://insights.blackcoffer.com/covid-19-environmental-impact-for-the-future/,,,,,,,,,,,,,
21,58.0,https://insights.blackcoffer.com/environmental-impact-of-the-covid-19-pandemic-lesson-for-the-future/,23.0,68.0,-0.495,0.147,23.649,0.154,9.521,23.649,207.0,746.0,1.583,2.0,5.102
22,59.0,https://insights.blackcoffer.com/how-data-analytics-and-ai-are-used-to-halt-the-covid-19-pandemic/,16.0,15.0,0.032,0.107,22.548,0.165,9.085,22.548,115.0,383.0,1.558,3.0,4.957
23,60.0,https://insights.blackcoffer.com/difference-between-artificial-intelligence-machine-learning-statistics-and-data-mining/,55.0,38.0,0.183,0.128,20.956,0.156,8.445,20.956,295.0,956.0,1.536,10.0,4.831
24,61.0,https://insights.blackcoffer.com/how-python-became-the-first-choice-for-data-science/,41.0,3.0,0.864,0.149,14.953,0.152,6.042,14.953,98.0,362.0,1.582,4.0,5.145
25,62.0,https://insights.blackcoffer.com/how-google-fit-measure-heart-and-respiratory-rates-using-a-phone/,5.0,0.0,1.0,0.029,22.875,0.112,9.195,22.875,41.0,217.0,1.462,0.0,4.967
26,63.0,https://insights.blackcoffer.com/what-is-the-future-of-mobile-apps/,19.0,8.0,0.407,0.078,23.588,0.123,9.485,23.588,99.0,445.0,1.51,6.0,4.786
27,64.0,https://insights.blackcoffer.com/impact-of-ai-in-health-and-medicine/,12.0,8.0,0.2,0.087,23.2,0.177,9.351,23.2,82.0,278.0,1.644,1.0,5.246
28,65.0,https://insights.blackcoffer.com/telemedicine-what-patients-like-and-dislike-about-it/,14.0,8.0,0.273,0.158,14.0,0.146,5.658,14.0,55.0,185.0,1.571,0.0,5.111
29,66.0,https://insights.blackcoffer.com/how-we-forecast-future-technologies/,4.0,0.0,1.0,0.053,17.0,0.19,6.876,17.0,29.0,90.0,1.791,1.0,5.333
30,67.0,https://insights.blackcoffer.com/can-robots-tackle-late-life-loneliness/,20.0,36.0,-0.286,0.177,14.87,0.112,5.993,14.87,90.0,413.0,1.478,19.0,4.721
31,68.0,https://insights.blackcoffer.com/embedding-care-robots-into-society-socio-technical-considerations/,5.0,2.0,0.429,0.103,19.444,0.091,7.814,19.444,16.0,96.0,1.446,1.0,4.646
32,69.0,https://insights.blackcoffer.com/management-challenges-for-future-digitalization-of-healthcare-services/,33.0,10.0,0.535,0.127,17.128,0.18,6.923,17.128,120.0,398.0,1.725,0.0,5.563
33,70.0,https://insights.blackcoffer.com/are-we-any-closer-to-preventing-a-nuclear-holocaust/,1.0,7.0,-0.75,0.154,20.571,0.09,8.265,20.571,13.0,72.0,1.354,3.0,4.632
34,71.0,https://insights.blackcoffer.com/will-technology-eliminate-the-need-for-animal-testing-in-drug-development/,7.0,25.0,-0.562,0.256,19.684,0.131,7.926,19.684,49.0,174.0,1.489,6.0,4.567
35,72.0,https://insights.blackcoffer.com/will-we-ever-understand-the-nature-of-consciousness/,26.0,49.0,-0.307,0.096,23.521,0.212,9.493,23.521,364.0,967.0,1.691,15.0,5.329
36,73.0,https://insights.blackcoffer.com/will-we-ever-colonize-outer-space/,42.0,23.0,0.292,0.097,24.729,0.121,9.94,24.729,209.0,871.0,1.469,18.0,4.721
37,74.0,https://insights.blackcoffer.com/what-is-the-chance-homo-sapiens-will-survive-for-the-next-500-years/,29.0,24.0,0.094,0.092,20.941,0.128,8.428,20.941,182.0,788.0,1.492,18.0,4.813
38,75.0,https://insights.blackcoffer.com/why-does-your-business-need-a-chatbot/,23.0,7.0,0.533,0.105,13.0,0.091,5.236,13.0,78.0,378.0,1.414,2.0,4.483
39,76.0,https://insights.blackcoffer.com/how-you-lead-a-project-or-a-team-without-any-technical-expertise/,37.0,8.0,0.644,0.097,24.825,0.122,9.978,24.825,172.0,651.0,1.433,5.0,4.511
40,77.0,https://insights.blackcoffer.com/can-you-be-great-leader-without-technical-expertise/,25.0,6.0,0.613,0.201,29.062,0.153,11.686,29.062,71.0,227.0,1.501,8.0,4.619
41,78.0,https://insights.blackcoffer.com/how-does-artificial-intelligence-affect-the-environment/,36.0,16.0,0.385,0.075,23.493,0.156,9.46,23.493,246.0,914.0,1.609,8.0,5.118
42,79.0,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes-2/,21.0,68.0,-0.528,0.241,14.478,0.11,5.835,14.478,110.0,493.0,1.46,11.0,4.674
43,80.0,https://insights.blackcoffer.com/is-perfection-the-greatest-enemy-of-productivity/,52.0,22.0,0.405,0.176,15.625,0.1,6.29,15.625,112.0,558.0,1.394,5.0,4.488
44,81.0,https://insights.blackcoffer.com/global-financial-crisis-2008-causes-effects-and-its-solution/,19.0,31.0,-0.24,0.114,21.739,0.108,8.739,21.739,108.0,571.0,1.458,0.0,4.786
45,82.0,https://insights.blackcoffer.com/gender-diversity-and-equality-in-the-tech-industry/,21.0,21.0,0.0,0.087,15.851,0.196,6.419,15.851,208.0,607.0,1.699,9.0,5.249
46,83.0,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes/,20.0,72.0,-0.565,0.242,15.723,0.114,6.335,15.723,116.0,507.0,1.471,13.0,4.704
47,84.0,https://insights.blackcoffer.com/how-small-business-can-survive-the-coronavirus-crisis/,19.0,9.0,0.357,0.107,19.879,0.145,8.009,19.879,95.0,348.0,1.532,5.0,4.812
48,85.0,https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors-and-food-stalls/,8.0,6.0,0.143,0.118,28.6,0.133,11.493,28.6,38.0,151.0,1.552,0.0,4.892
49,86.0,https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors/,25.0,18.0,0.163,0.128,31.348,0.146,12.597,31.348,105.0,419.0,1.62,0.0,5.245
50,87.0,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-tourism-aviation-industries/,18.0,30.0,-0.25,0.094,20.825,0.155,8.392,20.825,184.0,664.0,1.548,5.0,5.067
51,88.0,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-sports-events-around-the-world/,31.0,11.0,0.476,0.029,12.672,0.108,5.112,12.672,337.0,2035.0,1.481,0.0,5.098
52,89.0,https://insights.blackcoffer.com/changing-landscape-and-emerging-trends-in-the-indian-it-ites-industry/,31.0,41.0,-0.139,0.101,21.024,0.136,8.464,21.024,234.0,901.0,1.541,11.0,4.973
53,90.0,https://insights.blackcoffer.com/online-gaming-adolescent-online-gaming-effects-demotivated-depression-musculoskeletal-and-psychosomatic-symptoms/,29.0,60.0,-0.348,0.12,23.607,0.206,9.525,23.607,296.0,878.0,1.719,0.0,5.493
54,91.0,https://insights.blackcoffer.com/human-rights-outlook/,3.0,1.0,0.5,0.083,23.333,0.107,9.376,23.333,15.0,70.0,1.386,2.0,4.45
55,92.0,https://insights.blackcoffer.com/how-voice-search-makes-your-business-a-successful-business/,24.0,4.0,0.714,0.08,23.139,0.107,9.298,23.139,89.0,458.0,1.467,2.0,4.917
56,93.0,https://insights.blackcoffer.com/how-the-covid-19-crisis-is-redefining-jobs-and-services/,36.0,30.0,0.091,0.101,15.487,0.151,6.255,15.487,273.0,905.0,1.522,8.0,4.877
57,94.0,https://insights.blackcoffer.com/how-to-increase-social-media-engagement-for-marketers/,44.0,14.0,0.517,0.082,19.482,0.144,7.851,19.482,239.0,924.0,1.539,5.0,4.961
58,95.0,https://insights.blackcoffer.com/impacts-of-covid-19-on-streets-sides-food-stalls/,29.0,31.0,-0.033,0.133,22.63,0.137,9.107,22.63,143.0,595.0,1.542,3.0,4.998
59,96.0,https://insights.blackcoffer.com/coronavirus-impact-on-energy-markets-2/,16.0,41.0,-0.439,0.075,22.479,0.193,9.069,22.479,317.0,956.0,1.709,1.0,5.256
60,97.0,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-5/,13.0,41.0,-0.519,0.133,19.375,0.159,7.814,19.375,148.0,520.0,1.588,4.0,5.013
61,98.0,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-4/,33.0,47.0,-0.175,0.165,16.915,0.133,6.819,16.915,160.0,622.0,1.49,38.0,4.799
62,99.0,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work-2/,20.0,27.0,-0.149,0.107,30.028,0.159,12.075,30.028,172.0,587.0,1.586,12.0,4.96
63,100.0,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work-3/,20.0,41.0,-0.344,0.109,18.344,0.176,7.408,18.344,197.0,695.0,1.652,3.0,5.318
64,101.0,https://insights.blackcoffer.com/travel-and-tourism-outlook/,3.0,3.0,0.0,0.098,22.5,0.094,9.038,22.5,17.0,92.0,1.367,2.0,4.4
65,102.0,https://insights.blackcoffer.com/gaming-disorder-and-effects-of-gaming-on-health/,24.0,41.0,-0.262,0.142,18.982,0.135,7.647,18.982,146.0,587.0,1.506,14.0,4.8
66,103.0,https://insights.blackcoffer.com/what-is-the-repercussion-of-the-environment-due-to-the-covid-19-pandemic-situation/,6.0,24.0,-0.6,0.109,17.667,0.146,7.125,17.667,85.0,339.0,1.578,4.0,5.06
67,104.0,https://insights.blackcoffer.com/what-is-the-repercussion-of-the-environment-due-to-the-covid-19-pandemic-situation-2/,25.0,54.0,-0.367,0.153,21.51,0.195,8.682,21.51,214.0,631.0,1.67,2.0,5.253
68,105.0,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-office-space-and-co-working-industries/,22.0,35.0,-0.228,0.149,28.132,0.131,11.305,28.132,140.0,512.0,1.479,6.0,4.677
69,106.0,https://insights.blackcoffer.com/contribution-of-handicrafts-visual-arts-literature-in-the-indian-economy/,0.0,0.0,0.0,0.0,34.5,0.21,13.884,34.5,29.0,92.0,1.652,0.0,5.254
70,107.0,https://insights.blackcoffer.com/how-covid-19-is-impacting-payment-preferences/,10.0,3.0,0.538,0.06,18.172,0.102,7.31,18.172,54.0,302.0,1.484,4.0,4.75
71,108.0,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,28.0,54.0,-0.317,0.199,28.156,0.175,11.333,28.156,158.0,492.0,1.635,1.0,5.178
72,109.0,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis/,25.0,24.0,0.02,0.227,23.833,0.066,9.56,23.833,47.0,321.0,1.292,43.0,4.179
73,110.0,https://insights.blackcoffer.com/covid-19-how-have-countries-been-responding/,6.0,39.0,-0.733,0.099,20.469,0.148,8.247,20.469,148.0,591.0,1.55,0.0,5.22
74,111.0,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-2/,14.0,33.0,-0.404,0.105,19.961,0.167,8.051,19.961,170.0,557.0,1.611,0.0,5.27
75,112.0,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-3/,21.0,52.0,-0.425,0.151,19.98,0.159,8.056,19.98,159.0,577.0,1.607,2.0,5.283
76,113.0,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-3/,15.0,21.0,-0.167,0.111,23.294,0.157,9.38,23.294,124.0,442.0,1.597,8.0,4.989
77,114.0,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work/,39.0,47.0,-0.093,0.131,20.945,0.138,8.433,20.945,211.0,819.0,1.533,3.0,4.844
78,115.0,https://insights.blackcoffer.com/covid-19-how-have-countries-been-responding-2/,21.0,38.0,-0.288,0.088,20.183,0.18,8.145,20.183,258.0,855.0,1.643,2.0,5.179
79,116.0,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-4/,22.0,25.0,-0.064,0.151,35.292,0.073,14.146,35.292,62.0,445.0,1.334,45.0,4.267
80,117.0,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-2/,33.0,63.0,-0.312,0.122,24.926,0.154,10.032,24.926,261.0,972.0,1.578,11.0,5.191
81,118.0,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-3/,28.0,53.0,-0.309,0.175,16.105,0.09,6.478,16.105,110.0,604.0,1.378,7.0,4.504
82,119.0,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-4/,8.0,14.0,-0.273,0.141,16.263,0.227,6.596,16.263,70.0,183.0,1.793,1.0,5.508
83,120.0,https://insights.blackcoffer.com/why-scams-like-nirav-modi-happen-with-indian-banks/,44.0,91.0,-0.348,0.129,22.074,0.174,8.899,22.074,364.0,1279.0,1.631,1.0,5.225
84,121.0,https://insights.blackcoffer.com/impact-of-covid-19-on-the-global-economy/,31.0,62.0,-0.333,0.177,25.286,0.097,10.153,25.286,154.0,738.0,1.378,36.0,4.453
85,122.0,https://insights.blackcoffer.com/impact-of-covid-19coronavirus-on-the-indian-economy-2/,29.0,63.0,-0.37,0.131,17.031,0.15,6.872,17.031,247.0,936.0,1.561,10.0,4.959
86,123.0,https://insights.blackcoffer.com/impact-of-covid-19-on-the-global-economy-2/,36.0,82.0,-0.39,0.157,23.039,0.143,9.273,23.039,253.0,1004.0,1.548,11.0,5.006
87,124.0,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-indian-economy-3/,20.0,41.0,-0.344,0.15,17.833,0.145,7.191,17.833,140.0,542.0,1.542,8.0,4.918
88,125.0,https://insights.blackcoffer.com/should-celebrities-be-allowed-to-join-politics/,53.0,17.0,0.514,0.089,29.607,0.163,11.908,29.607,295.0,978.0,1.594,3.0,5.149
89,126.0,https://insights.blackcoffer.com/how-prepared-is-india-to-tackle-a-possible-covid-19-outbreak/,14.0,24.0,-0.263,0.107,26.065,0.146,10.484,26.065,118.0,442.0,1.598,3.0,5.058
90,127.0,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work/,31.0,80.0,-0.441,0.19,21.5,0.16,8.664,21.5,206.0,723.0,1.619,6.0,5.132
91,128.0,https://insights.blackcoffer.com/controversy-as-a-marketing-strategy/,7.0,16.0,-0.391,0.202,20.5,0.139,8.256,20.5,40.0,150.0,1.53,4.0,4.951
92,129.0,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry/,5.0,7.0,-0.167,0.061,18.458,0.149,7.443,18.458,66.0,261.0,1.6,1.0,5.255
93,130.0,https://insights.blackcoffer.com/coronavirus-impact-on-energy-markets/,21.0,58.0,-0.468,0.1,32.76,0.166,13.17,32.76,272.0,1048.0,1.635,2.0,5.234
94,131.0,https://insights.blackcoffer.com/what-are-the-key-policies-that-will-mitigate-the-impacts-of-covid-19-on-the-world-of-work/,81.0,31.0,0.446,0.137,23.352,0.183,9.414,23.352,304.0,973.0,1.647,0.0,5.251
95,132.0,https://insights.blackcoffer.com/marketing-drives-results-with-a-focus-on-problems/,24.0,20.0,0.091,0.076,21.355,0.141,8.598,21.355,187.0,735.0,1.553,7.0,5.027
96,133.0,https://insights.blackcoffer.com/continued-demand-for-sustainability/,24.0,19.0,0.116,0.127,25.308,0.229,10.215,25.308,151.0,409.0,1.798,0.0,5.752
97,134.0,https://insights.blackcoffer.com/coronavirus-disease-covid-19-effect-the-impact-and-role-of-mass-media-during-the-pandemic/,7.0,11.0,-0.222,0.115,30.4,0.181,12.232,30.4,55.0,178.0,1.711,4.0,5.368
98,135.0,https://insights.blackcoffer.com/should-people-wear-fabric-gloves-seeking-evidence-regarding-the-differential-transfer-of-covid-19-or-coronaviruses-generally-between-surfaces/,5.0,7.0,-0.167,0.109,21.333,0.075,8.563,21.333,24.0,166.0,1.337,7.0,4.406
99,136.0,https://insights.blackcoffer.com/why-is-there-a-severe-immunological-and-inflammatory-explosion-in-those-affected-by-sarms-covid-19/,0.0,13.0,-1.0,0.097,27.143,0.145,10.915,27.143,55.0,172.0,1.534,5.0,4.734
100,137.0,https://insights.blackcoffer.com/what-do-you-think-is-the-lesson-or-lessons-to-be-learned-with-covid-19/,4.0,5.0,-0.111,0.1,24.111,0.152,9.705,24.111,33.0,125.0,1.544,3.0,4.908
101,138.0,https://insights.blackcoffer.com/coronavirus-the-unexpected-challenge-for-the-european-union/,5.0,10.0,-0.333,0.15,16.733,0.171,6.762,16.733,43.0,131.0,1.554,7.0,4.936
102,139.0,https://insights.blackcoffer.com/industrial-revolution-4-0-pros-and-cons/,7.0,2.0,0.556,0.12,10.846,0.248,4.438,10.846,35.0,91.0,1.794,0.0,5.468
103,140.0,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-indian-economy/,12.0,50.0,-0.613,0.156,18.792,0.161,7.581,18.792,145.0,513.0,1.59,0.0,4.987
104,141.0,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-indian-economy-2/,5.0,20.0,-0.6,0.146,28.5,0.134,11.454,28.5,61.0,243.0,1.526,3.0,4.77
105,142.0,https://insights.blackcoffer.com/impact-of-covid-19coronavirus-on-the-indian-economy/,35.0,69.0,-0.327,0.132,21.451,0.179,8.652,21.451,315.0,984.0,1.635,0.0,5.106
106,143.0,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-global-economy/,5.0,24.0,-0.655,0.111,18.562,0.153,7.486,18.562,91.0,321.0,1.535,1.0,5.022
107,144.0,https://insights.blackcoffer.com/ensuring-growth-through-insurance-technology/,,,,,,,,,,,,,
108,145.0,https://insights.blackcoffer.com/blockchain-in-fintech/,11.0,11.0,0.0,0.075,22.0,0.142,8.857,22.0,103.0,391.0,1.573,3.0,5.145
109,146.0,https://insights.blackcoffer.com/blockchain-for-payments/,22.0,26.0,-0.083,0.119,16.642,0.171,6.725,16.642,151.0,519.0,1.634,10.0,5.348
110,147.0,https://insights.blackcoffer.com/the-future-of-investing/,32.0,9.0,0.561,0.082,20.434,0.156,8.236,20.434,169.0,627.0,1.613,2.0,5.174
111,148.0,https://insights.blackcoffer.com/big-data-analytics-in-healthcare/,26.0,43.0,-0.246,0.125,15.611,0.173,6.314,15.611,195.0,655.0,1.617,2.0,5.03
112,149.0,https://insights.blackcoffer.com/business-analytics-in-the-healthcare-industry/,25.0,3.0,0.786,0.101,22.36,0.215,9.03,22.36,120.0,321.0,1.75,0.0,5.564
113,150.0,https://insights.blackcoffer.com/challenges-and-opportunities-of-big-data-in-healthcare/,31.0,38.0,-0.101,0.146,16.031,0.15,6.473,16.031,154.0,578.0,1.564,8.0,5.021
